name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,509,07m58s,[314],07m58s,07m58s,[0],478.766,[314],478.770,[0],478.767,509
exch_data,118607180,0.00000s,[51],0.00023s,0.53131s,[261],36.655,[100],87.458,[428],52.874,509
global_sum,3669890,0.00000s,[5],0.00001s,0.03879s,[293],0.027,[2],0.484,[0],0.056,509
ordglb_sum,3737587,0.00002s,[236],0.00528s,0.42416s,[11],6.334,[507],47.052,[52],38.777,509
wrt_output,611309,0.00050s,[269],0.15481s,7.7957s,[0],185.631,[508],186.028,[167],185.926,509
physics,3665309,0.00349s,[289],0.02493s,0.43801s,[461],177.354,[0],180.301,[376],179.545,509
intp,18950070,0.00000s,[1],0.00001s,0.01052s,[352],0.413,[467],0.581,[271],0.479,509
nh_diagnostics,12839525,0.00000s,[0],0.00011s,0.15337s,[228],2.653,[206],3.393,[508],2.875,509
diagnose_pres_temp,1538707,0.00000s,[0],0.00006s,0.00497s,[486],0.179,[396],0.257,[508],0.196,509
model_init,1527,0.57485s,[124],1.2125s,2.1581s,[107],3.616,[256],3.668,[293],3.637,509
upper_atmosphere,2036,0.00000s,[5],0.00119s,0.00839s,[413],0.002,[42],0.010,[180],0.005,509
write_restart,11198,0.00238s,[1],0.05583s,1.0029s,[347],1.183,[252],1.247,[69],1.228,509
