name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,126,23m21s,[3],23m21s,23m21s,[58],1401.431,[3],1401.437,[58],1401.433,126
exch_data,29360520,0.00000s,[2],0.00103s,0.20776s,[105],148.352,[8],566.657,[122],240.565,126
global_sum,908460,0.00000s,[23],0.00004s,0.03732s,[120],0.220,[125],0.492,[0],0.298,126
ordglb_sum,925218,0.00000s,[88],0.00830s,0.20422s,[43],4.673,[83],90.372,[111],60.943,126
wrt_output,252,0.41622s,[0],0.44800s,0.47690s,[53],0.888,[0],0.905,[85],0.896,126
physics,907326,0.01398s,[17],0.08676s,0.39262s,[2],618.882,[0],628.997,[107],624.786,126
intp,4539906,0.00001s,[1],0.00008s,0.00523s,[17],1.643,[115],3.468,[92],2.706,126
nh_diagnostics,2725128,0.00000s,[0],0.00011s,0.01491s,[25],2.107,[122],2.726,[1],2.437,126
diagnose_pres_temp,229824,0.00000s,[0],0.00011s,0.00454s,[76],0.054,[113],0.269,[11],0.194,126
model_init,378,0.20473s,[7],1.0885s,1.8216s,[79],3.239,[7],3.293,[25],3.266,126
upper_atmosphere,504,0.00000s,[21],0.00127s,0.00910s,[32],0.002,[75],0.011,[32],0.005,126
write_restart,2772,0.01716s,[42],0.06119s,0.79638s,[105],1.274,[80],1.455,[123],1.346,126
