name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,127,32m01s,[112],32m01s,32m01s,[12],1921.034,[112],1921.039,[12],1921.036,127
exch_data,29593540,0.00000s,[2],0.00095s,0.43674s,[24],160.990,[12],304.239,[42],222.270,127
global_sum,915670,0.00000s,[1],0.00003s,0.05105s,[114],0.192,[41],0.368,[0],0.226,127
ordglb_sum,932561,0.00000s,[0],0.01038s,0.22623s,[28],4.574,[125],108.988,[74],76.185,127
wrt_output,254,0.45025s,[107],0.50420s,0.55467s,[45],1.003,[64],1.014,[121],1.008,127
physics,914527,0.01429s,[112],0.08870s,0.84720s,[84],635.344,[124],641.894,[15],638.724,127
intp,4725797,0.00001s,[2],0.00008s,0.00126s,[16],2.455,[87],3.717,[126],2.940,127
nh_diagnostics,2896616,0.00000s,[0],0.00020s,0.08471s,[87],4.328,[83],4.822,[125],4.618,127
diagnose_pres_temp,381508,0.00000s,[0],0.00048s,0.00487s,[112],1.373,[117],1.529,[5],1.447,127
model_init,381,0.19345s,[16],1.0392s,1.7008s,[75],3.100,[45],3.137,[0],3.118,127
upper_atmosphere,508,0.00000s,[2],0.00102s,0.00749s,[3],0.001,[84],0.009,[81],0.004,127
write_restart,152654,0.00960s,[31],0.42470s,4.0785s,[124],510.330,[126],510.601,[81],510.485,127
