name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,255,29m27s,[30],29m27s,29m27s,[9],1767.059,[30],1767.067,[9],1767.063,255
exch_data,59420100,0.00000s,[7],0.00088s,0.73513s,[159],110.683,[224],345.463,[159],205.457,255
global_sum,1838550,0.00000s,[7],0.00002s,0.03280s,[179],0.068,[1],0.586,[0],0.172,255
ordglb_sum,1872465,0.00001s,[79],0.01029s,0.65672s,[23],9.238,[254],185.981,[153],75.565,255
wrt_output,510,0.65639s,[9],0.72135s,0.78973s,[16],1.428,[98],1.462,[71],1.443,255
physics,1836255,0.00770s,[48],0.06229s,0.83109s,[95],441.692,[233],454.563,[151],448.529,255
intp,9488805,0.00000s,[96],0.00004s,0.00553s,[48],1.098,[67],1.699,[167],1.339,255
nh_diagnostics,5816040,0.00000s,[0],0.00021s,0.07173s,[186],2.432,[19],7.975,[249],4.894,255
diagnose_pres_temp,766020,0.00000s,[0],0.00033s,0.01196s,[112],0.495,[147],1.663,[252],1.002,255
model_init,765,0.23522s,[22],1.2284s,2.1028s,[108],3.662,[46],3.708,[116],3.685,255
upper_atmosphere,1020,0.00000s,[0],0.00170s,0.00932s,[37],0.003,[173],0.011,[230],0.007,255
write_restart,306510,0.01318s,[23],0.77635s,1.7877s,[248],930.975,[249],935.245,[19],933.171,255
