name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,256,17m32s,[171],17m32s,17m32s,[192],1052.372,[171],1052.504,[192],1052.419,256
exch_data,59653120,0.00000s,[3],0.00158s,2.9333s,[169],128.282,[0],449.641,[161],368.606,256
global_sum,1845760,0.00000s,[75],0.00001s,0.04988s,[121],0.073,[87],0.281,[0],0.094,256
ordglb_sum,1879808,0.00001s,[14],0.00697s,0.51187s,[229],7.261,[168],77.261,[228],51.217,256
wrt_output,512,0.73148s,[70],0.88839s,1.0419s,[113],1.771,[70],1.787,[55],1.777,256
physics,1843456,0.00729s,[160],0.04616s,0.57641s,[104],329.519,[0],333.302,[115],332.371,256
intp,9526016,0.00000s,[4],0.00004s,0.00610s,[160],1.173,[201],1.685,[72],1.372,256
nh_diagnostics,5838848,0.00000s,[0],0.00010s,0.07944s,[111],2.196,[129],2.368,[52],2.283,256
diagnose_pres_temp,769024,0.00000s,[0],0.00015s,0.00505s,[65],0.416,[168],0.478,[159],0.446,256
model_init,768,0.21839s,[71],1.2022s,2.0152s,[180],3.583,[73],3.652,[121],3.606,256
upper_atmosphere,1024,0.00000s,[5],0.00133s,0.00821s,[243],0.002,[142],0.010,[221],0.005,256
write_restart,307712,0.00018s,[1],0.13878s,3.0219s,[0],124.961,[3],422.823,[0],166.819,256
