name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,512,09m40s,[165],09m40s,09m40s,[0],580.334,[165],580.505,[0],580.415,512
exch_data,119306240,0.00000s,[25],0.00080s,1.1121s,[19],62.899,[192],257.508,[3],186.561,512
global_sum,3691520,0.00000s,[3],0.00001s,0.05518s,[362],0.045,[47],0.603,[0],0.076,512
ordglb_sum,3759616,0.00001s,[267],0.00577s,0.50521s,[144],17.096,[431],50.895,[134],42.383,512
wrt_output,1024,1.5791s,[219],1.6637s,1.7448s,[178],3.321,[219],3.337,[175],3.327,512
physics,3686912,0.00372s,[22],0.02604s,0.58314s,[305],184.924,[0],188.285,[386],187.524,512
intp,19052032,0.00000s,[0],0.00001s,0.00577s,[304],0.435,[401],0.557,[238],0.485,512
nh_diagnostics,11677696,0.00000s,[0],0.00005s,0.02839s,[274],0.965,[339],1.181,[121],1.089,512
diagnose_pres_temp,1538048,0.00000s,[0],0.00007s,0.00986s,[170],0.201,[325],0.250,[447],0.221,512
model_init,1536,0.29134s,[425],3.0712s,6.7659s,[470],9.190,[274],9.258,[362],9.214,512
upper_atmosphere,2048,0.00000s,[64],0.00111s,0.00826s,[383],0.001,[348],0.010,[501],0.004,512
write_restart,615424,0.00010s,[217],0.12263s,1.1775s,[256],101.051,[3],277.047,[0],147.403,512
