name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2048,43m41s,[574],43m41s,43m41s,[0],2621.743,[574],2621.803,[0],2621.762,2048
exch_data,477224960,0.00000s,[19],0.00018s,0.33644s,[1344],27.794,[1792],79.131,[1349],42.736,2048
global_sum,14766080,0.00000s,[79],0.00001s,0.05859s,[1760],0.037,[1847],0.831,[0],0.069,2048
ordglb_sum,15038464,0.00002s,[1053],0.00685s,0.38997s,[933],16.145,[1344],55.182,[1884],50.332,2048
wrt_output,4096,21.4534s,[9],41.6384s,01m01s,[1823],83.214,[23],83.299,[1779],83.277,2048
physics,14747648,0.00351s,[1185],0.02478s,0.49495s,[222],174.962,[0],179.918,[468],178.431,2048
intp,73791488,0.00000s,[2],0.00001s,0.00847s,[1536],0.374,[316],0.544,[511],0.436,2048
nh_diagnostics,44294144,0.00000s,[0],0.00002s,0.09548s,[10],0.334,[1348],0.658,[21],0.427,2048
diagnose_pres_temp,3735552,0.00000s,[0],0.00000s,0.00944s,[514],0.005,[1609],0.024,[17],0.007,2048
model_init,6144,1.9359s,[300],9.4963s,22.0707s,[741],28.459,[5],28.539,[1760],28.489,2048
upper_atmosphere,8192,0.00000s,[33],0.00121s,0.00979s,[775],0.001,[1164],0.011,[775],0.005,2048
write_restart,45056,0.00000s,[0],01m43s,02m20s,[0],2272.434,[18],2273.630,[0],2272.945,2048
