name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2048,05m34s,[1757],05m34s,05m34s,[512],334.595,[1757],334.761,[512],334.673,2048
exch_data,477224960,0.00000s,[25],0.00020s,0.85623s,[257],28.533,[256],84.569,[1349],45.775,2048
global_sum,14766080,0.00000s,[35],0.00001s,0.04807s,[1228],0.026,[531],0.806,[0],0.056,2048
ordglb_sum,15038464,0.00002s,[137],0.00680s,0.08144s,[147],15.881,[1344],54.761,[1884],49.955,2048
wrt_output,4096,20.2919s,[1],31.7294s,43.1577s,[0],63.414,[1],63.482,[1940],63.459,2048
physics,14747648,0.00352s,[1441],0.02470s,0.16886s,[597],174.171,[0],179.140,[466],177.854,2048
intp,73791488,0.00000s,[3],0.00001s,0.00906s,[1154],0.374,[1193],0.523,[1023],0.437,2048
nh_diagnostics,44294144,0.00000s,[0],0.00002s,0.01118s,[923],0.337,[1349],0.552,[60],0.407,2048
diagnose_pres_temp,3735552,0.00000s,[0],0.00000s,0.00560s,[865],0.004,[1376],0.011,[865],0.005,2048
model_init,6144,1.6602s,[22],8.9471s,20.8866s,[1527],26.798,[3],26.886,[1234],26.841,2048
upper_atmosphere,8192,0.00000s,[19],0.00121s,0.00924s,[892],0.001,[552],0.011,[892],0.005,2048
write_restart,45056,0.00009s,[854],0.13877s,0.94795s,[384],1.797,[1671],6.714,[0],3.053,2048
