name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,112,26m53s,[43],26m53s,26m53s,[34],1613.395,[43],1613.398,[34],1613.396,112
exch_data,26098240,0.00000s,[9],0.00099s,0.23160s,[31],164.652,[12],307.954,[32],230.892,112
global_sum,807520,0.00000s,[51],0.00001s,0.02840s,[37],0.063,[29],0.236,[0],0.098,112
ordglb_sum,822416,0.00000s,[88],0.00831s,0.22774s,[31],5.971,[56],98.315,[89],61.017,112
wrt_output,403312,0.00249s,[104],0.00286s,0.02700s,[69],9.953,[7],10.616,[33],10.293,112
physics,806512,0.01547s,[64],0.09557s,0.54808s,[90],684.177,[0],691.866,[45],688.223,112
intp,4436320,0.00001s,[2],0.00009s,0.01379s,[64],2.874,[45],4.409,[73],3.662,112
nh_diagnostics,3629360,0.00000s,[0],0.00122s,0.02898s,[110],38.974,[96],39.865,[5],39.482,112
diagnose_pres_temp,605136,0.00000s,[0],0.00104s,0.01181s,[64],5.212,[96],5.947,[2],5.601,112
model_init,336,0.76822s,[0],1.3361s,1.7587s,[107],3.996,[44],4.030,[0],4.008,112
upper_atmosphere,448,0.00000s,[56],0.00097s,0.00637s,[50],0.001,[92],0.009,[21],0.004,112
write_restart,224,0.00000s,[68],0.00124s,0.00414s,[107],0.000,[0],0.006,[107],0.002,112
