name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,992,11m30s,[807],11m30s,11m30s,[490],690.487,[807],690.493,[490],690.489,992
exch_data,231155840,0.00000s,[4],0.00048s,0.52617s,[775],66.872,[224],209.185,[530],112.407,992
global_sum,7152320,0.00000s,[183],0.00001s,0.06461s,[740],0.028,[433],0.706,[0],0.070,992
ordglb_sum,7284256,0.00001s,[348],0.01227s,0.56356s,[879],15.563,[651],111.162,[377],90.075,992
wrt_output,1191392,0.00106s,[808],0.00279s,0.09870s,[459],2.292,[495],3.578,[368],3.347,992
physics,7143392,0.00742s,[881],0.04942s,0.63156s,[879],351.531,[497],360.647,[339],355.881,992
intp,36912320,0.00000s,[203],0.00004s,0.00677s,[881],1.142,[421],1.906,[31],1.444,992
nh_diagnostics,25003360,0.00000s,[0],0.00023s,0.04059s,[748],5.528,[432],7.430,[238],5.818,992
diagnose_pres_temp,2978976,0.00000s,[0],0.00015s,0.00531s,[545],0.377,[153],0.608,[496],0.436,992
model_init,2976,0.67143s,[0],2.5088s,3.7254s,[550],7.508,[398],7.566,[208],7.526,992
upper_atmosphere,3968,0.00000s,[290],0.00126s,0.00849s,[130],0.001,[88],0.010,[601],0.005,992
write_restart,1984,0.00000s,[1],0.00087s,0.00530s,[7],0.000,[599],0.005,[7],0.002,992
